Virginia Department of Education,,,,,,,,,,,,,,,,,,,,,
"2015-2016 Student Membership by School (Grade, Ethnicity, & Gender)",,,,,,,,,,,,,,,,,,,,,
(11/18/2015),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Division No.,Division Name,School No.,School Name,Grade,Hispanic/ of any Race Male,Hispanic/ of any Race Female,"American Indian/Alaska Native 
Male","American Indian/Alaska Native 
Female",Asian Male,Asian Female,Black or African American Male,Black or African American Female,"Native Hawaiian/
Pacific Islander 
Male","Native Hawaiian/
Pacific Islander Female","White
Male",White Female,"Two or more races  (Non-Hispanic)
Male","Two or more races (Non-Hispanic)
Female","Total
Full-time Students",Part-time Students,"Total 
Full-time & Part-time Students"
29,FAIRFAX CO PBLC SCHS,"1,950",HUNTERS WOODS ELEM,KG,6,8,0,0,12,12,14,5,0,0,13,24,1,6,101,0,101
29,FAIRFAX CO PBLC SCHS,"1,950",HUNTERS WOODS ELEM,PK,0,2,0,0,1,3,6,5,0,0,3,6,1,0,27,0,27
29,FAIRFAX CO PBLC SCHS,"1,980",HUTCHISON ELEM,1,52,52,0,0,11,10,8,9,0,0,14,5,0,2,163,0,163
29,FAIRFAX CO PBLC SCHS,"1,980",HUTCHISON ELEM,2,51,57,0,0,12,9,6,5,0,0,4,8,1,4,157,0,157
29,FAIRFAX CO PBLC SCHS,"1,980",HUTCHISON ELEM,3,47,52,0,0,8,9,8,2,0,0,6,3,0,2,137,0,137
29,FAIRFAX CO PBLC SCHS,"1,980",HUTCHISON ELEM,4,40,56,1,0,10,8,4,3,0,0,6,3,2,1,134,0,134
29,FAIRFAX CO PBLC SCHS,"1,980",HUTCHISON ELEM,5,39,51,1,1,5,9,5,7,0,0,3,4,0,2,127,0,127
29,FAIRFAX CO PBLC SCHS,"1,980",HUTCHISON ELEM,6,27,43,0,0,12,5,7,7,0,0,3,4,1,1,110,0,110
29,FAIRFAX CO PBLC SCHS,"1,980",HUTCHISON ELEM,KG,43,45,0,0,6,7,2,9,0,0,4,5,0,1,122,0,122
29,FAIRFAX CO PBLC SCHS,"1,980",HUTCHISON ELEM,PK,16,21,0,0,3,2,1,4,0,0,1,3,0,0,51,0,51
29,FAIRFAX CO PBLC SCHS,"1,420",HYBLA VALLEY ELEM,1,52,60,1,0,3,6,13,8,0,0,0,3,0,1,147,0,147
29,FAIRFAX CO PBLC SCHS,"1,420",HYBLA VALLEY ELEM,2,56,77,1,0,6,4,12,5,0,0,3,2,2,0,168,0,168
29,FAIRFAX CO PBLC SCHS,"1,420",HYBLA VALLEY ELEM,3,60,53,0,0,3,3,11,4,0,0,2,1,2,0,139,0,139
29,FAIRFAX CO PBLC SCHS,"1,420",HYBLA VALLEY ELEM,4,56,57,0,0,3,6,8,5,0,0,1,1,1,0,138,0,138
29,FAIRFAX CO PBLC SCHS,"1,420",HYBLA VALLEY ELEM,5,33,61,0,0,5,1,6,12,0,1,1,1,0,1,122,0,122
29,FAIRFAX CO PBLC SCHS,"1,420",HYBLA VALLEY ELEM,6,39,32,0,0,5,1,7,12,0,0,1,1,0,0,98,0,98
29,FAIRFAX CO PBLC SCHS,"1,420",HYBLA VALLEY ELEM,KG,52,62,0,0,3,1,12,11,0,0,3,3,0,1,148,0,148
29,FAIRFAX CO PBLC SCHS,"1,420",HYBLA VALLEY ELEM,PK,4,8,0,0,2,0,2,0,0,0,1,0,0,0,17,0,17
29,FAIRFAX CO PBLC SCHS,"1,120",IRVING MIDDLE,7,47,41,1,1,37,25,25,18,0,0,159,135,14,18,521,0,521
29,FAIRFAX CO PBLC SCHS,"1,120",IRVING MIDDLE,8,39,31,0,1,38,31,20,23,0,0,123,132,17,6,461,0,461
29,FAIRFAX CO PBLC SCHS,"2,235",ISLAND CREEK ELEM,1,9,5,1,0,8,8,12,6,0,0,28,42,8,6,133,0,133
29,FAIRFAX CO PBLC SCHS,"2,235",ISLAND CREEK ELEM,2,5,10,1,0,7,8,15,5,0,0,33,35,2,6,127,0,127
29,FAIRFAX CO PBLC SCHS,"2,235",ISLAND CREEK ELEM,3,4,1,0,0,8,5,6,7,0,0,30,30,4,5,100,0,100
29,FAIRFAX CO PBLC SCHS,"2,235",ISLAND CREEK ELEM,4,8,10,0,0,5,6,9,12,0,0,16,28,2,5,101,0,101
29,FAIRFAX CO PBLC SCHS,"2,235",ISLAND CREEK ELEM,5,4,2,0,0,6,5,9,9,0,0,25,21,3,5,89,0,89
29,FAIRFAX CO PBLC SCHS,"2,235",ISLAND CREEK ELEM,6,2,2,0,0,6,7,6,18,1,1,18,23,3,6,93,0,93
29,FAIRFAX CO PBLC SCHS,"2,235",ISLAND CREEK ELEM,KG,6,9,0,0,7,6,9,8,0,0,29,40,5,6,125,0,125
29,FAIRFAX CO PBLC SCHS,"2,235",ISLAND CREEK ELEM,PK,3,3,0,0,5,1,3,2,0,0,13,5,1,0,36,0,36
29,FAIRFAX CO PBLC SCHS,673,JACKSON MIDDLE,7,118,118,0,0,101,78,26,22,1,0,109,92,17,18,700,0,700
29,FAIRFAX CO PBLC SCHS,673,JACKSON MIDDLE,8,147,103,2,2,88,78,26,27,1,1,106,86,15,17,699,0,699
29,FAIRFAX CO PBLC SCHS,"1,240",KEENE MILL ELEM,1,9,5,0,0,7,5,1,2,0,0,18,14,3,4,68,0,68
29,FAIRFAX CO PBLC SCHS,"1,240",KEENE MILL ELEM,2,10,10,0,0,7,6,1,6,1,0,11,14,5,3,74,0,74
29,FAIRFAX CO PBLC SCHS,"1,240",KEENE MILL ELEM,3,13,11,0,0,11,17,2,8,0,0,28,25,5,3,123,0,123
29,FAIRFAX CO PBLC SCHS,"1,240",KEENE MILL ELEM,4,6,12,0,0,11,19,3,14,0,1,23,31,4,4,128,0,128
29,FAIRFAX CO PBLC SCHS,"1,240",KEENE MILL ELEM,5,13,13,1,0,12,14,8,7,0,0,20,36,6,7,137,0,137
29,FAIRFAX CO PBLC SCHS,"1,240",KEENE MILL ELEM,6,16,20,0,0,19,22,7,14,0,0,24,26,2,4,154,0,154
29,FAIRFAX CO PBLC SCHS,"1,240",KEENE MILL ELEM,KG,13,9,0,1,4,3,4,4,0,0,18,11,4,1,72,0,72
29,FAIRFAX CO PBLC SCHS,980,KENT GARDENS ELEM,1,3,7,0,0,12,19,1,2,0,1,47,37,8,2,139,0,139
29,FAIRFAX CO PBLC SCHS,980,KENT GARDENS ELEM,2,4,9,0,0,17,9,3,4,0,1,53,44,3,4,151,0,151
29,FAIRFAX CO PBLC SCHS,980,KENT GARDENS ELEM,3,6,4,0,0,9,6,3,3,0,0,38,55,5,4,133,0,133
29,FAIRFAX CO PBLC SCHS,980,KENT GARDENS ELEM,4,3,9,0,1,6,8,1,3,0,0,56,45,3,5,140,0,140
29,FAIRFAX CO PBLC SCHS,980,KENT GARDENS ELEM,5,4,2,0,0,11,8,2,2,0,1,50,38,0,2,120,0,120
29,FAIRFAX CO PBLC SCHS,980,KENT GARDENS ELEM,6,6,6,0,0,10,10,1,4,0,0,57,38,4,2,138,0,138
29,FAIRFAX CO PBLC SCHS,980,KENT GARDENS ELEM,KG,3,1,0,0,9,15,0,1,0,0,32,36,4,6,107,0,107
29,FAIRFAX CO PBLC SCHS,"1,901",KEY CENTER,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
29,FAIRFAX CO PBLC SCHS,"1,901",KEY CENTER,2,0,0,0,0,2,0,0,1,0,0,0,1,1,0,5,0,5
29,FAIRFAX CO PBLC SCHS,"1,901",KEY CENTER,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
29,FAIRFAX CO PBLC SCHS,"1,901",KEY CENTER,4,0,0,0,0,2,1,1,0,0,0,1,1,0,0,6,0,6
29,FAIRFAX CO PBLC SCHS,"1,901",KEY CENTER,5,0,0,0,0,1,0,1,1,0,0,1,2,0,0,6,0,6
29,FAIRFAX CO PBLC SCHS,"1,901",KEY CENTER,6,2,0,0,0,0,0,1,0,0,0,2,2,0,0,7,0,7
29,FAIRFAX CO PBLC SCHS,"1,901",KEY CENTER,7,1,1,0,0,0,0,2,0,0,0,4,1,0,0,9,0,9
29,FAIRFAX CO PBLC SCHS,"1,901",KEY CENTER,8,0,1,0,0,0,0,0,1,0,0,3,0,0,0,5,0,5
29,FAIRFAX CO PBLC SCHS,"1,901",KEY CENTER,9,2,1,0,0,1,0,1,2,0,0,3,4,1,0,15,0,15
29,FAIRFAX CO PBLC SCHS,"1,901",KEY CENTER,10,3,1,0,0,1,1,1,1,0,0,3,1,0,0,12,0,12
29,FAIRFAX CO PBLC SCHS,"1,901",KEY CENTER,11,1,0,0,0,2,0,3,0,0,0,0,0,1,0,7,0,7
29,FAIRFAX CO PBLC SCHS,"1,901",KEY CENTER,12,7,3,0,0,0,0,2,0,0,0,3,7,1,2,25,0,25
29,FAIRFAX CO PBLC SCHS,"1,901",KEY CENTER,KG,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
29,FAIRFAX CO PBLC SCHS,"1,900",KEY MIDDLE,7,87,74,0,0,40,43,33,29,0,0,36,31,3,4,380,0,380
29,FAIRFAX CO PBLC SCHS,"1,900",KEY MIDDLE,8,94,95,3,1,59,55,31,27,0,0,33,36,6,6,446,0,446
29,FAIRFAX CO PBLC SCHS,"1,761",KILMER CENTER,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2
29,FAIRFAX CO PBLC SCHS,"1,761",KILMER CENTER,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,5
29,FAIRFAX CO PBLC SCHS,"1,761",KILMER CENTER,4,0,1,0,0,0,0,0,0,0,0,3,0,0,0,4,0,4
29,FAIRFAX CO PBLC SCHS,"1,761",KILMER CENTER,5,1,0,0,0,1,2,1,0,0,0,1,0,0,0,6,0,6
29,FAIRFAX CO PBLC SCHS,"1,761",KILMER CENTER,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2
29,FAIRFAX CO PBLC SCHS,"1,761",KILMER CENTER,7,1,1,0,0,0,2,1,1,0,0,1,1,0,1,9,0,9
29,FAIRFAX CO PBLC SCHS,"1,761",KILMER CENTER,8,0,0,0,0,2,0,0,0,0,0,5,2,0,0,9,0,9
29,FAIRFAX CO PBLC SCHS,"1,761",KILMER CENTER,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2
29,FAIRFAX CO PBLC SCHS,"1,761",KILMER CENTER,10,1,1,0,0,2,0,0,1,0,0,1,2,0,1,9,0,9
29,FAIRFAX CO PBLC SCHS,"1,761",KILMER CENTER,11,4,1,0,0,2,2,2,3,0,0,7,4,1,1,27,0,27
29,FAIRFAX CO PBLC SCHS,"1,761",KILMER CENTER,12,0,0,0,0,0,0,0,1,0,0,1,2,0,0,4,0,4
29,FAIRFAX CO PBLC SCHS,"1,761",KILMER CENTER,KG,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
29,FAIRFAX CO PBLC SCHS,"1,760",KILMER MIDDLE,7,57,38,0,0,84,86,15,10,0,0,148,130,19,25,612,0,612
29,FAIRFAX CO PBLC SCHS,"1,760",KILMER MIDDLE,8,24,39,0,3,80,88,13,13,0,0,168,148,25,17,618,0,618
29,FAIRFAX CO PBLC SCHS,"1,890",KINGS GLEN ELEM,4,21,19,0,0,6,11,5,9,0,0,38,29,7,3,148,0,148
29,FAIRFAX CO PBLC SCHS,"1,890",KINGS GLEN ELEM,5,15,21,0,1,12,11,5,9,0,1,35,30,7,7,154,0,154
29,FAIRFAX CO PBLC SCHS,"1,890",KINGS GLEN ELEM,6,20,16,0,0,20,17,7,5,0,0,33,32,4,4,158,0,158
29,FAIRFAX CO PBLC SCHS,"1,440",KINGS PARK ELEM,1,28,22,1,0,10,13,3,3,0,0,38,51,3,4,176,0,176
29,FAIRFAX CO PBLC SCHS,"1,440",KINGS PARK ELEM,2,25,19,0,0,21,13,4,7,0,0,39,39,10,11,188,0,188
29,FAIRFAX CO PBLC SCHS,"1,440",KINGS PARK ELEM,3,26,28,0,1,18,11,7,8,1,0,22,37,8,6,173,0,173
29,FAIRFAX CO PBLC SCHS,"1,440",KINGS PARK ELEM,KG,14,19,0,0,7,12,1,2,0,0,49,33,3,3,143,0,143
29,FAIRFAX CO PBLC SCHS,"1,440",KINGS PARK ELEM,PK,3,1,0,0,7,0,1,0,0,0,4,4,1,0,21,0,21
29,FAIRFAX CO PBLC SCHS,"1,570",LAKE ANNE ELEM,1,19,15,0,0,6,2,4,13,0,0,22,17,6,6,110,0,110
29,FAIRFAX CO PBLC SCHS,"1,570",LAKE ANNE ELEM,2,17,21,0,0,3,2,8,6,0,0,16,21,3,3,100,0,100
29,FAIRFAX CO PBLC SCHS,"1,570",LAKE ANNE ELEM,3,16,19,0,0,1,4,9,8,0,0,21,11,5,2,96,0,96
29,FAIRFAX CO PBLC SCHS,"1,570",LAKE ANNE ELEM,4,14,7,0,0,1,2,4,10,0,0,16,16,3,4,77,0,77
29,FAIRFAX CO PBLC SCHS,"1,570",LAKE ANNE ELEM,5,10,11,0,0,4,4,8,6,0,0,19,19,2,2,85,0,85
29,FAIRFAX CO PBLC SCHS,"1,570",LAKE ANNE ELEM,6,16,13,0,0,1,1,5,8,0,0,25,18,1,1,89,0,89
29,FAIRFAX CO PBLC SCHS,"1,570",LAKE ANNE ELEM,KG,12,11,0,0,7,4,5,9,0,0,21,25,5,2,101,0,101
29,FAIRFAX CO PBLC SCHS,"1,570",LAKE ANNE ELEM,PK,2,3,0,1,1,0,2,2,0,0,1,2,0,0,14,0,14
29,FAIRFAX CO PBLC SCHS,90,LAKE BRADDOCK SECONDARY,7,64,45,0,0,65,68,24,18,0,0,195,173,30,20,702,0,702
29,FAIRFAX CO PBLC SCHS,90,LAKE BRADDOCK SECONDARY,8,65,63,0,0,68,68,24,23,0,0,191,144,20,22,688,0,688
29,FAIRFAX CO PBLC SCHS,90,LAKE BRADDOCK SECONDARY,9,59,65,1,1,83,65,29,22,0,2,171,166,20,18,702,0,702
29,FAIRFAX CO PBLC SCHS,90,LAKE BRADDOCK SECONDARY,10,70,66,0,1,79,59,18,18,1,1,177,184,15,20,709,0,709
29,FAIRFAX CO PBLC SCHS,90,LAKE BRADDOCK SECONDARY,11,63,69,0,1,74,63,19,25,1,0,178,173,28,18,712,1,713
29,FAIRFAX CO PBLC SCHS,90,LAKE BRADDOCK SECONDARY,12,67,54,1,1,55,61,21,25,0,0,182,171,15,24,677,1,678
29,FAIRFAX CO PBLC SCHS,"2,209",LANE ELEM,1,13,9,0,0,6,9,9,13,2,0,37,32,5,6,141,0,141
29,FAIRFAX CO PBLC SCHS,"2,209",LANE ELEM,2,9,4,1,1,8,12,14,12,0,0,25,30,7,7,130,0,130
29,FAIRFAX CO PBLC SCHS,"2,209",LANE ELEM,3,8,10,0,0,14,3,15,9,1,1,26,22,4,2,115,0,115
29,FAIRFAX CO PBLC SCHS,"2,209",LANE ELEM,4,12,7,0,0,13,13,16,17,0,0,23,18,0,3,122,0,122
29,FAIRFAX CO PBLC SCHS,"2,209",LANE ELEM,5,5,9,1,0,6,8,15,9,2,0,22,25,5,2,109,0,109
29,FAIRFAX CO PBLC SCHS,"2,209",LANE ELEM,6,8,8,0,1,8,13,11,9,0,0,13,18,4,4,97,0,97
29,FAIRFAX CO PBLC SCHS,"2,209",LANE ELEM,KG,10,14,0,1,7,9,14,9,0,0,28,24,3,7,126,0,126
29,FAIRFAX CO PBLC SCHS,"1,460",LANGLEY HIGH,9,10,9,1,0,70,65,0,4,0,0,167,145,14,9,494,1,495
29,FAIRFAX CO PBLC SCHS,"1,460",LANGLEY HIGH,10,15,11,1,1,52,49,2,2,0,0,187,144,14,8,486,0,486
29,FAIRFAX CO PBLC SCHS,"1,460",LANGLEY HIGH,11,17,17,1,0,56,72,4,3,1,1,171,163,17,11,534,0,534
29,FAIRFAX CO PBLC SCHS,"1,460",LANGLEY HIGH,12,15,10,2,0,44,55,3,2,0,0,164,147,11,9,462,0,462
29,FAIRFAX CO PBLC SCHS,"1,110",LANIER MIDDLE,7,61,57,1,1,35,48,25,26,0,0,95,95,7,8,459,0,459
29,FAIRFAX CO PBLC SCHS,"1,110",LANIER MIDDLE,8,58,61,0,0,65,49,22,25,0,0,113,122,12,11,538,0,538
29,FAIRFAX CO PBLC SCHS,"2,348",LAUREL HILL ELEM,1,6,5,0,0,21,22,20,10,0,0,10,10,5,3,112,0,112
29,FAIRFAX CO PBLC SCHS,"2,348",LAUREL HILL ELEM,2,8,5,0,0,18,15,28,15,0,0,24,12,3,5,133,0,133
29,FAIRFAX CO PBLC SCHS,"2,348",LAUREL HILL ELEM,3,8,6,1,0,27,27,17,17,0,0,16,19,1,3,142,0,142
29,FAIRFAX CO PBLC SCHS,"2,348",LAUREL HILL ELEM,4,12,8,0,1,25,14,23,22,0,0,12,19,9,4,149,0,149
29,FAIRFAX CO PBLC SCHS,"2,348",LAUREL HILL ELEM,5,7,5,0,0,19,22,25,15,0,0,19,23,2,7,144,0,144
29,FAIRFAX CO PBLC SCHS,"2,348",LAUREL HILL ELEM,6,11,8,0,0,18,15,21,17,0,0,12,19,5,3,129,0,129
29,FAIRFAX CO PBLC SCHS,"2,348",LAUREL HILL ELEM,KG,3,3,0,0,18,9,12,16,0,1,17,22,5,6,112,0,112
29,FAIRFAX CO PBLC SCHS,"1,970",LAUREL RIDGE ELEM,1,13,13,1,0,7,3,2,2,0,0,36,35,2,3,117,0,117
29,FAIRFAX CO PBLC SCHS,"1,970",LAUREL RIDGE ELEM,2,18,15,0,0,8,8,0,5,0,0,45,39,4,9,151,0,151
29,FAIRFAX CO PBLC SCHS,"1,970",LAUREL RIDGE ELEM,3,9,13,0,1,7,4,4,3,0,0,39,41,5,4,130,0,130
29,FAIRFAX CO PBLC SCHS,"1,970",LAUREL RIDGE ELEM,4,10,14,0,0,7,8,3,1,0,0,28,34,4,3,112,0,112
29,FAIRFAX CO PBLC SCHS,"1,970",LAUREL RIDGE ELEM,5,8,10,0,0,13,6,2,4,0,0,34,39,3,5,124,0,124
29,FAIRFAX CO PBLC SCHS,"1,970",LAUREL RIDGE ELEM,6,12,13,0,1,5,6,6,1,0,0,36,31,2,7,120,0,120
29,FAIRFAX CO PBLC SCHS,"1,970",LAUREL RIDGE ELEM,KG,8,13,0,0,3,6,4,2,0,0,37,28,4,2,107,0,107
29,FAIRFAX CO PBLC SCHS,"1,970",LAUREL RIDGE ELEM,PK,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
29,FAIRFAX CO PBLC SCHS,"1,020",LEE HIGH,9,106,86,2,0,70,34,27,28,0,0,44,48,7,7,459,0,459
29,FAIRFAX CO PBLC SCHS,"1,020",LEE HIGH,10,122,96,1,0,48,39,31,31,0,0,36,41,10,6,461,0,461
29,FAIRFAX CO PBLC SCHS,"1,020",LEE HIGH,11,83,96,0,0,69,44,32,34,0,0,47,39,10,6,460,0,460
29,FAIRFAX CO PBLC SCHS,"1,020",LEE HIGH,12,67,68,1,1,54,65,39,34,0,0,42,44,7,8,430,0,430
29,FAIRFAX CO PBLC SCHS,"1,850",LEES CORNER ELEM,1,9,9,0,0,21,20,4,3,0,0,30,24,5,3,128,0,128
29,FAIRFAX CO PBLC SCHS,"1,850",LEES CORNER ELEM,2,9,5,0,0,26,26,6,4,0,0,28,25,6,2,137,0,137
29,FAIRFAX CO PBLC SCHS,"1,850",LEES CORNER ELEM,3,5,5,1,0,20,14,1,0,0,0,26,20,6,7,105,0,105
29,FAIRFAX CO PBLC SCHS,"1,850",LEES CORNER ELEM,4,10,6,0,0,25,12,2,2,0,0,22,22,4,4,109,0,109
29,FAIRFAX CO PBLC SCHS,"1,850",LEES CORNER ELEM,5,6,6,0,0,18,11,0,3,1,0,19,21,4,2,91,0,91
29,FAIRFAX CO PBLC SCHS,"1,850",LEES CORNER ELEM,6,4,5,0,0,16,14,2,1,0,0,16,26,1,5,90,0,90
29,FAIRFAX CO PBLC SCHS,"1,850",LEES CORNER ELEM,KG,2,1,0,0,14,16,2,0,0,0,30,27,1,2,95,0,95
29,FAIRFAX CO PBLC SCHS,"1,850",LEES CORNER ELEM,PK,1,2,0,0,0,0,0,0,0,0,1,1,0,0,5,0,5
29,FAIRFAX CO PBLC SCHS,770,LEMON ROAD ELEM,1,6,4,0,0,7,11,2,4,0,0,14,12,3,1,64,0,64
29,FAIRFAX CO PBLC SCHS,770,LEMON ROAD ELEM,2,13,12,0,0,15,11,1,4,0,0,17,10,2,4,89,0,89
29,FAIRFAX CO PBLC SCHS,770,LEMON ROAD ELEM,3,9,15,0,0,11,16,2,4,0,0,13,8,4,3,85,0,85
29,FAIRFAX CO PBLC SCHS,770,LEMON ROAD ELEM,4,8,6,0,0,9,10,0,1,0,0,20,11,4,6,75,0,75
29,FAIRFAX CO PBLC SCHS,770,LEMON ROAD ELEM,5,12,7,0,0,11,10,1,0,0,0,17,13,4,3,78,0,78
29,FAIRFAX CO PBLC SCHS,770,LEMON ROAD ELEM,6,6,15,0,0,7,11,3,2,0,0,20,16,5,5,90,0,90
29,FAIRFAX CO PBLC SCHS,770,LEMON ROAD ELEM,KG,6,13,0,0,10,13,0,1,0,0,13,13,0,1,70,0,70
29,FAIRFAX CO PBLC SCHS,770,LEMON ROAD ELEM,PK,4,0,0,0,4,0,0,1,0,0,2,2,0,0,13,0,13
29,FAIRFAX CO PBLC SCHS,"2,233",LIBERTY MIDDLE,7,50,43,1,1,73,85,29,27,2,2,102,119,16,11,561,0,561
29,FAIRFAX CO PBLC SCHS,"2,233",LIBERTY MIDDLE,8,56,46,0,0,88,78,31,30,2,1,89,82,15,9,527,0,527
29,FAIRFAX CO PBLC SCHS,"1,400",LITTLE RUN ELEM,1,6,4,0,0,6,5,2,1,0,0,8,5,0,1,38,0,38
29,FAIRFAX CO PBLC SCHS,"1,400",LITTLE RUN ELEM,2,8,2,0,0,5,7,0,0,0,0,11,9,5,1,48,0,48
29,FAIRFAX CO PBLC SCHS,"1,400",LITTLE RUN ELEM,3,4,6,0,0,5,4,1,1,0,0,8,5,2,0,36,0,36
29,FAIRFAX CO PBLC SCHS,"1,400",LITTLE RUN ELEM,4,4,11,0,0,6,7,1,2,0,0,7,7,3,0,48,0,48
29,FAIRFAX CO PBLC SCHS,"1,400",LITTLE RUN ELEM,5,3,5,0,0,7,6,3,2,0,0,5,4,2,2,39,0,39
29,FAIRFAX CO PBLC SCHS,"1,400",LITTLE RUN ELEM,6,6,6,0,0,10,12,0,1,0,0,9,5,2,0,51,0,51
29,FAIRFAX CO PBLC SCHS,"1,400",LITTLE RUN ELEM,KG,4,5,0,0,5,4,0,0,0,0,8,11,3,2,42,0,42
29,FAIRFAX CO PBLC SCHS,"1,400",LITTLE RUN ELEM,PK,3,0,0,0,5,2,2,0,0,0,12,8,1,0,33,0,33
29,FAIRFAX CO PBLC SCHS,"1,830",LONDON TOWNE ELEM,1,22,35,0,0,7,7,7,2,0,0,15,17,2,5,119,0,119
29,FAIRFAX CO PBLC SCHS,"1,830",LONDON TOWNE ELEM,2,35,19,0,0,16,8,10,4,0,0,16,27,4,4,143,0,143
29,FAIRFAX CO PBLC SCHS,"1,830",LONDON TOWNE ELEM,3,25,28,0,0,12,8,8,5,0,0,23,12,3,5,129,0,129
29,FAIRFAX CO PBLC SCHS,"1,830",LONDON TOWNE ELEM,4,23,30,0,1,5,9,3,2,0,1,12,12,2,6,106,0,106
29,FAIRFAX CO PBLC SCHS,"1,830",LONDON TOWNE ELEM,5,31,30,0,0,5,4,10,5,1,0,8,17,2,0,113,0,113
29,FAIRFAX CO PBLC SCHS,"1,830",LONDON TOWNE ELEM,6,27,21,0,0,7,6,5,10,0,0,21,12,3,4,116,0,116
29,FAIRFAX CO PBLC SCHS,"1,830",LONDON TOWNE ELEM,KG,35,24,0,0,6,7,7,15,0,0,17,21,4,5,141,0,141
29,FAIRFAX CO PBLC SCHS,"1,830",LONDON TOWNE ELEM,PK,9,8,0,0,1,6,1,2,0,0,0,1,0,0,28,0,28
29,FAIRFAX CO PBLC SCHS,"1,150",LONGFELLOW MIDDLE,7,31,19,1,1,105,84,16,11,0,0,174,182,26,24,674,0,674
29,FAIRFAX CO PBLC SCHS,"1,150",LONGFELLOW MIDDLE,8,32,28,0,1,89,82,7,13,0,1,207,166,20,23,669,0,669
29,FAIRFAX CO PBLC SCHS,"2,236",LORTON STATION ELEM,1,20,12,0,0,13,4,11,21,0,0,10,11,6,5,113,0,113
29,FAIRFAX CO PBLC SCHS,"2,236",LORTON STATION ELEM,2,14,11,0,0,12,6,23,30,0,0,9,9,3,5,122,0,122
29,FAIRFAX CO PBLC SCHS,"2,236",LORTON STATION ELEM,3,20,19,1,0,9,16,24,22,0,0,24,11,3,9,158,0,158
29,FAIRFAX CO PBLC SCHS,"2,236",LORTON STATION ELEM,4,13,19,0,0,18,10,26,32,0,0,16,15,6,6,161,0,161
29,FAIRFAX CO PBLC SCHS,"2,236",LORTON STATION ELEM,5,12,9,1,0,19,10,37,17,0,0,15,15,8,7,150,0,150
29,FAIRFAX CO PBLC SCHS,"2,236",LORTON STATION ELEM,6,14,16,0,0,19,23,32,28,0,0,24,23,4,8,191,0,191
29,FAIRFAX CO PBLC SCHS,"2,236",LORTON STATION ELEM,KG,16,20,0,0,8,10,23,24,0,0,17,10,3,1,132,0,132
29,FAIRFAX CO PBLC SCHS,"2,236",LORTON STATION ELEM,PK,3,7,0,0,0,1,4,0,0,0,1,0,1,0,17,0,17
29,FAIRFAX CO PBLC SCHS,110,LOUISE ARCHER ELEM,1,5,4,0,0,3,6,1,0,0,0,23,10,1,3,56,0,56
29,FAIRFAX CO PBLC SCHS,110,LOUISE ARCHER ELEM,2,11,3,0,0,5,2,0,1,0,0,19,19,3,0,63,0,63
29,FAIRFAX CO PBLC SCHS,110,LOUISE ARCHER ELEM,3,12,6,0,0,19,14,0,1,0,0,31,19,6,1,109,0,109
29,FAIRFAX CO PBLC SCHS,110,LOUISE ARCHER ELEM,4,5,10,0,0,6,13,1,0,0,0,40,32,5,6,118,0,118
29,FAIRFAX CO PBLC SCHS,110,LOUISE ARCHER ELEM,5,6,5,0,0,17,16,1,2,0,0,52,34,4,3,140,0,140
29,FAIRFAX CO PBLC SCHS,110,LOUISE ARCHER ELEM,6,9,3,0,0,14,16,2,1,0,0,34,40,7,7,133,0,133
29,FAIRFAX CO PBLC SCHS,110,LOUISE ARCHER ELEM,KG,6,7,0,0,5,5,0,1,0,0,24,12,2,3,65,0,65
29,FAIRFAX CO PBLC SCHS,890,LYNBROOK ELEM,1,38,37,0,0,5,10,1,3,0,0,4,0,1,0,99,0,99
29,FAIRFAX CO PBLC SCHS,890,LYNBROOK ELEM,2,46,38,0,0,7,3,2,3,0,0,0,1,0,1,101,0,101
29,FAIRFAX CO PBLC SCHS,890,LYNBROOK ELEM,3,49,39,0,1,6,3,3,0,0,0,1,2,0,0,104,0,104
29,FAIRFAX CO PBLC SCHS,890,LYNBROOK ELEM,4,36,30,0,1,9,2,1,0,0,0,1,1,1,0,82,0,82
29,FAIRFAX CO PBLC SCHS,890,LYNBROOK ELEM,5,24,27,0,1,0,5,1,1,0,0,1,1,0,0,61,0,61
29,FAIRFAX CO PBLC SCHS,890,LYNBROOK ELEM,6,29,30,0,0,1,3,2,0,0,0,2,0,1,0,68,0,68
29,FAIRFAX CO PBLC SCHS,890,LYNBROOK ELEM,KG,37,39,0,0,1,8,1,0,0,0,4,1,0,1,92,0,92
29,FAIRFAX CO PBLC SCHS,890,LYNBROOK ELEM,PK,24,18,0,0,3,2,0,0,0,0,0,0,0,0,47,0,47
29,FAIRFAX CO PBLC SCHS,"1,060",MADISON HIGH,9,38,26,0,1,50,36,9,3,1,0,191,148,11,21,535,0,535
